"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33"
"4620618.00","462","Montréal","0618.00",3611.00,3.80,7240.80,44.60,59.80,24.00,180.00,1085.00,145.00,2.10,30800.00,28600.00,19.40,15.90,29.60,160.00,225.00,1990.00,1080.00,250.00,285.00,450.00,1220.00,500.00,22.50,32.90,795.00,856.00,160.00,400000.00
"4620619.00","462","Montréal","0619.00",5885.00,1.40,10047.80,49.80,52.10,34.40,180.00,1350.00,1190.00,1.80,28000.00,26600.00,23.60,19.90,31.70,355.00,365.00,3230.00,1795.00,245.00,555.00,570.00,2430.00,1145.00,19.50,42.90,880.00,947.00,145.00,400000.00
"4620625.01","462","Montréal","0625.01",6036.00,-0.80,1191.60,40.50,67.10,15.20,85.00,355.00,0.00,2.80,38000.00,33600.00,7.00,5.60,10.00,130.00,85.00,4400.00,1720.00,350.00,530.00,1830.00,370.00,270.00,9.00,27.40,880.00,924.00,115.00,302000.00
"4620625.02","462","Montréal","0625.02",7955.00,5.50,3983.10,37.30,65.90,11.90,80.00,435.00,0.00,3.00,40400.00,36000.00,4.50,3.00,12.40,155.00,45.00,5025.00,2885.00,455.00,870.00,2325.00,320.00,280.00,9.20,19.00,940.00,950.00,115.00,300000.00
"4620626.00","462","Montréal","0626.00",7631.00,6.40,722.40,38.20,67.30,12.30,65.00,670.00,0.00,2.90,44800.00,39200.00,4.60,3.50,11.20,150.00,10.00,5430.00,2185.00,250.00,610.00,2365.00,310.00,345.00,11.20,24.60,830.00,920.00,145.00,400000.00
"4620627.00","462","Montréal","0627.00",6628.00,-3.20,1291.20,44.90,63.50,22.60,165.00,1325.00,210.00,2.20,35200.00,32000.00,10.90,8.80,17.40,70.00,70.00,4710.00,1195.00,160.00,395.00,1260.00,1495.00,695.00,17.90,31.50,870.00,967.00,190.00,400000.00
"4620628.01","462","Montréal","0628.01",4820.00,2.00,2753.30,41.20,63.50,18.30,40.00,800.00,80.00,2.40,39600.00,35200.00,8.70,7.50,13.80,125.00,75.00,3410.00,1220.00,195.00,285.00,1245.00,740.00,295.00,10.50,22.30,800.00,838.00,165.00,400000.00
"4620628.02","462","Montréal","0628.02",3746.00,-0.20,4581.70,39.90,64.50,16.50,5.00,730.00,0.00,2.40,40000.00,35200.00,8.00,6.90,9.60,160.00,80.00,2715.00,1060.00,115.00,255.00,905.00,670.00,240.00,12.20,19.70,840.00,908.00,75.00,384000.00
"4620629.00","462","Montréal","0629.00",3515.00,2.40,2952.00,44.90,60.30,23.80,20.00,195.00,0.00,2.60,41600.00,36400.00,4.70,2.90,11.20,45.00,0.00,2535.00,980.00,110.00,185.00,1135.00,190.00,115.00,5.80,23.70,810.00,840.00,90.00,424000.00
"4620630.01","462","Montréal","0630.01",3710.00,0.40,3076.00,43.70,62.50,21.00,5.00,60.00,0.00,2.80,44400.00,38400.00,3.60,2.70,7.00,50.00,40.00,2580.00,1075.00,75.00,180.00,1220.00,90.00,125.00,7.80,27.80,990.00,1260.00,65.00,500000.00
